s_no,comment,sentiment
21,"Renault & Mahindra Join Forces: 2025 Duster to Get Mahindra’s Rugged 1.5L Diesel Heart – What We Know A French-Indian Power Couple? Next-Gen Duster May Combine Renault’s Design Flair with Mahindra’s Legendary mHawk Diesel Muscle      India’s SUV battleground is set for a seismic shift! Renault India and Mahindra & Mahindra (M&M) are reportedly in advanced talks to equip the 2025 Renault Duster with Mahindra’s acclaimed 1.5-litre mHawk diesel engine, the same powerhouse driving the Thar RWD and XUV 3XO. This alliance could resurrect the Duster’s glory while redefining cost-efficient collaboration in the BS6 era. Here’s an exclusive deep dive into the engine, the SUV, and why this deal could shake up the Hyundai Creta-Tata Nexon duopoly.  The Engine: Mahindra’s 1.5L mHawk Diesel – Specs, Tech & Why Renault Wants It Key Specifications (as in XUV 3XO/Thar RWD): •	Displacement: 1,493 cc •	Power: 117 PS @ 3,750 rpm •	Torque: 300 Nm @ 1,500–2,750 rpm •	Compliance: BS6 Phase 2 (upgraded SCR + DPF) •	Transmission: Likely 6-speed manual or 6-speed automatic (Renault may tweak gear ratios) •	Fuel Efficiency: 18.5–19.5 km/l (as per XUV 3XO’s figures)   Tech Highlights: •	Turbocharged Brilliance: Single turbocharger with intercooler for crisp low-end torque – ideal for off-roading and highway overtakes. •	Diesel’s Last Stand: Mahindra’s revised mHawk engine uses Selective Catalytic Reduction (SCR) and Diesel Particulate Filter (DPF) to meet strict BS6 Phase 2 norms, slashing NOx emissions by 70% compared to BS4. •	Proven Reliability: Over 2 lakh Thar and XUV units sold with this engine since 2020, praised for ruggedness in Indian conditions. Why Renault Needs This: •	Cost Savings: Developing a new diesel engine for India’s shrinking diesel PV market (down to 18% in 2023 from 50% in 2014) is economically unviable. Sourcing from Mahindra saves R&D costs. •	Instant Credibility: Mahindra’s diesel engines are trusted for performance and durability – a quick fix to revive Duster’s ""King of Roads"" legacy.  2025 Renault Duster: What Leaks & Rumors Reveal   Platform & Design: •	CMF-B Modular Architecture: Shared with Nissan Magnite and Renault Kiger, but heavily modified for ruggedness. Expect a longer wheelbase (+20 mm) vs. the current Duster. •	Design Inspiration: Spy shots hint at a Dacia Bigster-inspired design – bold C-shaped LED DRLs, flared wheel arches, and a floating roof. Rumor mill suggests a 4320 mm length, making it a sub-4.3m compact SUV. •	Ground Clearance: 210 mm (same as Thar), with skid plates for off-road styling. Interior & Features (Expected):   •	Tech Upgrade: 10.25-inch touchscreen with wireless Android Auto/Apple CarPlay, 7-inch digital driver display, and Renault’s latest ADAS suite (Level 1 autonomy with lane-keep assist and adaptive cruise control). •	Comfort: Ventilated front seats, panoramic sunroof, and dual-zone AC. Powertrain Options: •	Diesel: Mahindra’s 1.5L mHawk (117 PS) – the headline act. •	Petrol: 1.3L turbo-petrol (156 PS) from Nissan-Renault alliance (shared with Kiger). •	Hybrid: A 1.6L petrol-hybrid may debut later, targeting eco-conscious urban buyers.  Market Strategy: Why Diesel Still Matters in India   •	Rural Demand: Diesel accounts for 35% of SUV sales (vs. 18% overall PVs), driven by farm economies and taxi segments. •	Torque Lovers: Diesel’s 300 Nm torque (vs. 250 Nm in Creta’s 1.5L petrol) appeals to adventure seekers and highway drivers. •	Pricing Play: A diesel Duster could undercut rivals: o	Expected Price: ₹12–16 lakh (ex-showroom) o	Competitors: Hyundai Creta Diesel (₹12.5–18.7 lakh), Tata Nexon Diesel (₹10–15.5 lakh)  Expert Take: “A Masterstroke, But Risks Remain” Auto analyst Suraj Ghosh (IHS Markit): “This is a masterstroke for Renault. Mahindra’s engine is a proven workhorse, and badge engineering costs are minimal. However, Renault must ensure the Duster doesn’t look like a rebadged XUV 3XO. Differentiation in design and tech is key.” Rural Sales Guru Rajesh Kumar (Motilal Oswal): “In states like Uttar Pradesh and Bihar, diesel SUVs still rule. A rugged diesel Duster at ₹12 lakh could steal Scorpio-N’s budget buyers.”  The Bigger Picture: Renault-Mahindra’s Growing Synergy •	Shared Manufacturing: Renault-Nissan’s Chennai plant already builds Kiger and Magnite. Mahindra could supply engines directly, cutting logistics costs. •	EVs vs. ICE: While Renault focuses on Kwid EV and Mahindra on XUV400, this deal highlights pragmatism – ICE isn’t dead yet in India.  The Duster’s Make-or-Break Moment The 2025 Duster isn’t just another SUV – it’s Renault’s bid to reclaim relevance in India. With Mahindra’s diesel engine, a butch new design, and tech borrowed from global models, Renault is betting big on nostalgia and value. If priced aggressively, this French-Indian fusion could be the disruptor Tata Nexon once was. Launch Timeline: Expected August 2025 (unveil) with deliveries from Festive season 2025.    Final Word: While neither Renault nor Mahindra has confirmed the talks, supply-chain insiders suggest a contract is “90% finalized.” If true, the Duster 2025 could rekindle India’s diesel love affair – and give Hyundai and Tata sleepless nights. Stay tuned for updates as this story develops!  Did you know? The original Duster sold over 1.5 lakh units in India between 2012–2018. With Mahindra’s engine, Renault aims for 50,000 units/year – a 300% jump over current Duster sales!",Positive
22,Beautiful car 2025modeal,Positive
23,English me bolkar kya sabit karna chahte ho bhai india hai ya london bharat duniya me pehle desh hai jo apni bhasa ki aisi tesi karta hai,Neutral
24,im a proud owner of first generation diesel duster and I'll buy a new duster in future but  there is no 1.5  litres dCi diesel option in this car which renault people should have in this beautiful car,Positive
25,hoping the same looks come in .,Neutral
26,We need diesel.,Neutral
27,They will release this in 2026 And then will say ki cars sale nahi hoti 😂,Neutral
28,"If it says Dacia on it, why do you call it Renault?",Neutral
29,The 2nd door handle is giving a bad appearance 😢😢,Negative
30,Oh...yesss waiting eagerly to come to India but NO downgrading for India plz...Hope renault is listening.,Neutral
31,What is the avarage fuel consumption,Neutral
32,Why didn’t they change the antenna to shark fin?,Neutral
33,Looks like BREZZA’s BROTHER 😂😂😂,Neutral
34,Will they offer an automatic gearbox with the turbo charged motor which is on my present duster,Neutral
35,When it is release,Neutral
36,We need this in Diesel,Neutral
37,Have sunroof also,Neutral
38,Sun roofing is useless. It is mere business for its price enhencement only.,Negative
39,Well..another 3 cylinder engine at 17 L price range,Neutral
40,I need this car,Neutral
41,Own Duster 110 ps for the last nine years ...simply adore it,Positive
42,WHEN IT WILL BE LAUNCHED IN INDIA ?,Neutral
43,Too late,Negative
44,"What's the point in end 2025 launch, when it will be outdated in the International market!",Negative
45,I shall not accept any cheap knockoff of this. Need this real product. We indians can buy stuff. Dont you dare Renault change this,Positive
46,"20 lacs is too much, it should start from 11-12 lakh and can end at 18 lakhs that way it will easily destroy its competitors,  but this video was launched 7 months ago yet there is no sign of this car 2025 will he too late as it will end its chances to grab a major share in indian market !",Neutral
47,"6 mahine ho gye, abhi tak nhi aayi",Neutral
48,2025 me ayegi to renault ise apni ghar hi rakh le... there are not many good options for petrol SUVs in India...,Positive
49,Why no sunroof and Diesel for India? Its sad,Negative
50,"It will be very difficult for the Duster to rake volumes the way it did with the earlier model. Lot of competition and lack of diesel power train would be the major deterrents. Also, if it is a hybrid, Renault needs to look at the prices to keep it affordable. Anything upwards of 20 lakhs will find substantially less takers. I loved the way it looks BTW. Addition of soft touch plastics will add to the Wow factor. Loved the AC vents in particular. I don't want a panoramic sunroof. I don't know many many would agree with me.",Positive
51,New duster 7 sater to you and your family and friends is a few minutes to talk to you 😉🦜,Neutral
52,Atleast sunroof...,Neutral
53,"Renault really needs to work on its plastic quality, fit & finish in India.",Positive
54,"I have driven the Dacia duster quite a lot in Europe, It dominates the roads in many countries such as Iceland and more. Such a sturdy car, dont know why Renault dropped the ball so hard in India. Waiting for it to come back to Indian market soon",Positive
55,This will come in India but in 2050😂😂,Neutral
56,"Will launch in petrol, an oxymoron for a SUV.",Neutral
57,fuck sunroofs,Negative
58,"Although a great offering, this will struggle and most likely fail to perform along side of Diesel variants of XUV3XO & Creta. Indian mentality is still hell bent towards Diesel unfortunately!",Neutral
59,I hope Renault incorporates a Sun roof even in the mid spec variants and especially in the 4 wheel variant,Neutral
60,"Why has Renault/Nissan been missing from the Creta segment for so long... As fas as I remember, the Creta segment used to be the Duster Segment a couple years ago...",Negative
61,No diesel for India .. so 4x4 in India will be petrol ????,Neutral
62,I love it.,Positive
63,Indian selling date,Neutral
64,"I just sold my 2023 Duster and got a Kwid today. Hail Duster, will wait for this OG",Neutral
65,The creta 2023 launched abroad had a different look as to what is launched in India . I’m a bit skeptical of this as well .,Negative
66,More beautiful than before,Positive
67,Ppl requesting u pls don't buy Renault duster I owe a duster car its  good but parts r so so costly and main thing is all d parts r not durable so pls go with other company but pls don't buy duater.,Positive
68,"2025 is a mistake for Renault Duster. By the time it launches in India, the other car makers will have countered it with better products suiting the Indian market. Also why a 3 cylinder engine? 😢",Positive
69,Soooooo good........ 🔥🔥🔥🔥,Positive
70,Nice and cool🎉🎉,Positive
71,Og to you soon and your requirements and your team to talk about this 😔🦜,Neutral
72,Still no sunroof very sadly😢,Positive
73,The king 👑 of the segment is back❤,Neutral
74,Duster is always best compact SUV,Positive
75,A Duster is unbeatable on road or off road. Its superior in all ways. I'm owning one since 2016 and can't wait for the upgraded Duster.,Positive
76,Why duster is too late? Other car makers are enjoying mid size suv market. And Renault is sleeping.,Neutral
77,Really mind blowing,Positive
78,But old duster out fit is different ❤,Positive
79,I will wait for it 🔥,Neutral
80,HYBRID Duster has good scope; otherwise it will be a FAILURE. A chargeable hybrid setup will bring big sales volumes.,Positive
81,New duster is just wow and awesome.🎉. Creta and seltos are in panic mode. 😅. But Renault please keep it in mind. Old duster was hit due to its less price and good drive ability.,Positive
82,❤,Neutral
83,"Well pricing does matter, it is going to cost alot than its predecessor. It was there to wipe out the market because of its look",Neutral
84,Panaromic Sunroof should be there.!!,Neutral
85,2 months over still waiting 😢,Neutral
86,Dddd😂,Neutral
87,"Good Design after long time,",Positive
88,"Auto companies take Indian market as a joke and consumer in return take those companies as a joke too..while maruti and hyundai have already launched newer models, other auto companies are still planning to do in a year or two for models which are already in the international market,by the time which their plan models became outdated and then blame the market for not being profitable. Its a pity that those at the helm of companies like nissan, renault, are too cocky when it comes to auto business in India. They never learn from the mistake made by companies like Ford, fiat etc or maybe they choose not to learn but adopt the same shitty business plan",Negative
89,Too late to the party,Negative
90,"This will put fire in india market if it is launched as it is. If change in appearance & look, then it will be useless stunt by Reno & wastage of opportunities in indian market. 😂😂😂",Negative
91,Great products by renault come too late after the party. Whats the point ? in my opinion.,Positive
92,"Perfect time to launch this car in 2024, but if not launched this year, again it will not get response",Positive
93,"Still have my 2016 RXS Duster, done 190000 KM but still going great. Waiting for the new Duster to replace it. Hope they launch the new one around Diwali 2024.",Positive
94,Without the diesel engine?,Neutral
95,May i know when this model is going to launch in india..tamil nadu?,Neutral
96,Works if price will be max 15 lakhs otherwise Indians dont prefer it.,Neutral
97,Looks fantastic,Positive
98,strage logo for renatult.,Neutral
99,Yes awaiting the same,Neutral
100,This is called what a real suv. Nowadays suv are looking like just a hatchback cars not suv,Positive
101,"Haha 2025 launch. If they give rough road ride like previous Dusters,then it will be winner",Neutral
102,Very good suv,Positive
103,wow,Neutral
104,Og of all suvs in India 🔥🔥🔥🔥,Neutral
105,Duster Without Diesel 😢,Neutral
106,Diesel???,Neutral
107,Festive season of 2025 is basically end of 2025!!!!! Don't understand their strategy for a market like India where upgrades happen at a breakneck speed.,Neutral
108,this is where all started,Neutral
109,Budget SUV king is back,Neutral
110,I am waiting for this .,Neutral
111,This car makes its rivals way outdated,Negative
112,ASHOKSINH7BELHARI841424DEVPUJANSINGH2004ASHOKKUMARSINGH7372AshokSingh,Neutral
113,In 2024 Tata will also launch their mid-size SUV codenamed Curve.  So competition will be really tough. I am sure CURVE will start dominating from the beginning. Nexon and Punch amply proves that. The gap between Nexon and Harrier will be filled up..just can't wait for the Curve. I also have great respect for the Iconic Duster..,Positive
114,such a cheap car in Europe,Positive
115,Dacia ?,Neutral
116,"Launch is tooooo Late!!! They out to prepone the launch to late 2024, that is what will do for someone like me who is looking for a vehicle but can wait some time for the right car.",Negative
117,"If Duster will launch in India with diesel engine, it will be definitely successful.",Positive
118,Why Renault logo is like DC,Neutral
119,"Diesel will have  good sales ,but if it comes with petrol sales will be very low ...",Positive
120,The head lamps of the earlier Dusters were one of its kind design.. These new head lamps are just ok... Wish they kept the earlier head lamps design,Positive
121,Looks like DC logo in the front,Neutral
122,Now that's the car in its segment that I'd like to buy,Neutral
123,Loved the older version of the Duster,Positive
124,Too late ....renault should shut down in india for better. If they are ready to adapt indian market & launch as early bird.,Neutral
125,Looks like a streched quid  In design.,Neutral
126,Have you tried Global Dominion Financing Inc. for car financing or car refinancing (Sangla OR/CR)?,Neutral
127,Duster was the OG mini-suv. Its heartening to see it back in the game!,Negative
128,Renault need to heavily localise content for aggressive pricing it seems... There is nothing worse to see a new gen duster fail😢 for faulty pricing.,Negative
129,Duster has created this new compact SUV segment.. this is definitely going to rock ❤,Neutral
130,It'll be the competetor of ScorpioN too,Neutral
131,So it will go on sale on 2025 😂😂😂,Neutral
132,This looks so hot 🔥🔥🔥🔥,Positive
133,This looks fantastic. 2025 is a bit far off and I think Renault are missing a trick. Hope pricing is good or it may not be able to compete.,Positive
134,The stupid tax system ruins the auto experience for all Indians.,Negative
135,The india one will have 16 inch rims and it will ruin everything,Neutral
136,nice look but the price is too high.,Positive
137,The phone holder is blocking the top portion of the screen,Positive
138,Renault pls focus on your build quality,Neutral
139,"I’m still using my duster 4x4 bought in 2014 150000km done .. will use maximum possible.. brilliant vehicle for that price (12.75 lakhs in 2014)boot space, suspension, ground clearance and decent mileage(14km for my 110ps) are the highlights…",Positive
140,Looks like nexon ev,Neutral
141,I hope they dont change a single thing with unnecessary chrome's,Negative
142,"I am planning to buy a 7/8 seater in the next 2 years, so a 2025 works for me. Tata and Mahindra were my prime choices until now, but having seen people drive the first gen Duster up bare bone roads to trekking points where only Land Rovers reign, this car becomes an interesting one for me now. I just hope it's proces competitively.",Positive
143,its not duster its dacia,Neutral
144,Definitely gonna save up for this,Neutral
145,Superhit 👍🏻,Neutral
146,The king is back in the world of psudo midsize SUVs. Once you drive duster you will get the feeling and suspension is top notch,Positive
147,"2025 main aaegi, bhai video bhi kyu bna rhe ho",Positive
148,"Currently am driving the old duster & comparing to it, I like the looks specially the LED tails lamps design. but, honestly i dnt think its worth 20lacs looking at the over all aspect of the car. Interior dsnt convince me for 20lacs. Looks like the Reno wud face the same fate s  the current suzuki jimny which made a major flop in the market due to its high price. So better RENAULT made some concession on the price before its too late.",Positive
149,"The only concern Indians will have the service network and whether renault will continue in India considering their limited cars in market … People will opt for safe option to go with stable brands like Mahindra ,Tata ,Hyundai",Positive
150,I already have old duster. Now this upgrade is forcing me to stick to duster 😂,Neutral
151,How much nasty plastic do you want?  Renault: Yes!,Negative
152,While comparing you should also consider Tata Harrier,Neutral
153,"If they remove the front running DRLs for India version, they better not release it in India.",Positive
154,"Old duster was a gem of product. Today also it shames many suvs in terms of ride quality, control and cruising",Positive
155,Why autocar is highlighting adas feature ? I have xuv700 with Ada’s and could use it only for about 30 kms after which I got fed up with obstructing vehicles. Only useful feature is frontal collision alert,Neutral
156,Dc makeover?,Neutral
157,"It's too late now, in front of the new brezza, Nexon, seltos, and up coming creta it can't even stand upon its feet 😂😂😂😂 it's looks are very similar to Hyundai exter 😂😂😂😂",Neutral
158,I think this is the car that might bring renault back on track. I mean this was the car that started the indian suv trend and i think that it deserves a comeback.,Negative
159,Nice vehicle but 2025 means too late.....,Positive
160,If it will so late it will automatically be eliminated from its competitors,Negative
161,Most awaiting this one.....,Positive
162,2025 is way too long,Neutral
163,Every car these days seems same,Neutral
164,I want seven seater option with strong hybrid ❤,Positive
165,2025 Festival season is like 2 years from now and a lot can happen even in a year as tech changes and upgrades faster than we all know.,Neutral
166,"We have always liked the Duster, eagerly awaiting its Bharat launch. A 2024 festive season launch would have been appreciated though.",Positive
167,"2025 is light years away. By that time, Renault India will be dusted away by the competition.",Positive
168,Need Diesel engine as well,Neutral
169,2025 will see much for facelifts design upgrades and hybrids already in competition and Duster will have stiff competition to play.,Neutral
170,Too late,Negative
171,"Been waiting patiently for upgraded model for years now. If they're bringing a 7-seater Duster, I'm willing to wait until 2025. (Duster user since 2015, still my primary vehicle) Last point : Please GoI, don't kill diesel. There's no fuel as torquee & smooth as diesel",Positive
172,Will Buy if same comes to India,Neutral
173,Kia kicopy lgti hai side angle Astor bhi,Neutral
174,Great news and it looks gorgeous 🥰😍,Positive
175,Is duster unveiling a base variant  or a top variant no sunroof and no surf antena?,Negative
176,Tired of old design Only waiting for this design,Negative
177,Every thing is super but price is. To high,Positive
178,"Came to know if it will have 4*4, so great.",Positive
179,Ride quality is next level 🔥,Neutral
180,20L is too much to start with. Base at 9-10 would be better.,Neutral
181,20 lakhs for a crossover that too from renault🤯,Neutral
182,Yakinan shandar car 🚗 h,Neutral
183,Most rugged suv,Positive
184,Last chance for Renault to get some sales in India. They should bring this ASAP!,Neutral
185,Dilip chabria😂,Neutral
186,the price is the most important thing,Positive
187,If not in Diesel then no point of all this 😂,Neutral
188,"Still proudly own the 2013 Duster 85 ps RXZ, with almost 398000 kms done and still counting wothout engine overhaul, and it has still got more than other 10 years of life left only the interior getting a bit outdated now. Still can avoid interior for such a tremendous engine and driveability.",Positive
189,"Sharp yet original boxy design is still there!😍 See what honda achieved with elevate, even tho it has less flashy features compared to hyundai siblings! Duster can do it, reno needs more coverage across country!  Now waiting for people to ask for panoramic head remover and 32 inch tv with duster!  Hyundai has spoiled this market!",Neutral
190,Third class or lowest renualt company car delar,Neutral
191,If this car fails to sell in great numbers Renault will truly leave India. The only reason they still stay in India even with declining sales is because they hope the new Duster will be a success. Nissan’s days in India is numbered as well.,Positive
192,"I think this will be not a hit product in india because of no diesel engine previous one was hit due the powerful diesel engine, no hate to duster my love for it will remain same as before ❤",Positive
193,"I drive a lots of cards , but duster is the king",Neutral
194,"2025 would be too late for indian market, considering tata and mahindra's competitive portfolio for new upcoming cars. For example in my terms tata safari is more sensible suv(comparing only fromt wheel drive diesel) but xuv700 was launched with segment first ground breaking features and so able to sell so much more in numbers than safari. I am considering only these two because other companies don't have any suvs thats comes close to these",Positive
195,Renault will mess up this design..,Negative
196,I thought it was designed by DC..😂,Neutral
197,Pale se inke car bikte he nhi or etna let lake aa rhe hy 2025 😄🙏🏻,Negative
198,2025.... That killed the mood.,Negative
199,So you guys think we dont follow autocar global ??,Neutral
200,"Welcome to India but don't close or discontinue the car again and cheat the customers.  Duster was the car that raised the fever of Monocoque mid size SUV and also offered 4WD .   The rear door grab in C pillar is not so practical, not used to. It should be kept as usual on door",Positive
201,No diesel engine 😢😢😢,Neutral
202,"Renault's India plan never understood... Very good cars (Duster, Kwid, Triber) but then no major updates for years till they are finished...",Positive
203,The name itself is a turnoff.... am not impressed!,Negative
204,Its a perfect competition for Honda elevate not creta or seltos… its top model should end at 15L ex showroom.,Positive
205,Loved the design. Get the 4x4 at around 20L and it will be a definite hit.,Positive
206,Design is amazing but they are fooling you Renault onever going to give us an latest model 🙃😂,Positive
207,"More muscular design with all the bells and whistles.It looks promising and could do well in India.But, 2025 launch may be too far away,as other newer SUVs are in the pipeline.",Positive
208,Tail light looks good,Positive
209,Look like DC design car,Neutral
210,Duster was great product and it coming again 👍🏻,Positive
211,"Car shown is left hand drive, not for India",Neutral
212,2025 that too Petrol. LOL such a thorough L this is.,Positive
213,This was modified by DC,Neutral
214,"If they launch in 2024 first half, it will good Flatform for the new arrival,  because 2024,  first half there is many options,  like creta facelift and others",Positive
215,Why does it never look like this in India?,Neutral
216,You had me at 4-wheel drive. What a stunner!,Neutral
217,i bet all this we will not recieve in india  this renault dosent work here because  they think indian consumers wont afford this  i bet you see they  will try to bring another shit product like kwid and triber,Negative
218,Super hit! If launched today!  2025 November will be Funeral.,Positive
219,Plastic cladding bumpers design sucks...,Negative
220,I don't think any sane minded person will rush to a renault dealership after hearing about this.,Neutral
221,Finally the dream car is here!,Neutral
222,Looks like DC modified 😂,Neutral
223,"If they don't release this model soon, it's lights our for nissan/renault",Neutral
224,"Can't make a comeback in times of Tata, Mahindra and Kia / Hyundai.",Neutral
225,Now this is a proper SUV look... But 2025 will be too late for Renault.,Negative
226,"Other than the kindergarten backlight design & the black tape band aids on the outer front doors, the rest esp the front looks nice. Duster's engine, reliability, affordability and comfort in India is legendary.",Positive
227,No market for duster or reanault 😂..Gaya ...taken by big players .,Neutral
228,late 2025 will be too late for india market. expecting launch in early 2024,Negative
229,"Too much Black Fibre Body, New version looks bigster but cheap. We have a 2016 Duster, the Silver color fibre body(for Ex. Bumpers) is still a standout making it look rough, and stunner yet elegant.",Positive
230,Mirror के नीचे जो ब्लैक पार्ट है वो पूरी लुक को बरबाद कर रहा है😅,Neutral
231,"Strongly desired vehicle, i would surely get one if launched within 6 months, real rugged suv.👍🏻",Positive
232,"Thank god, no sunroof",Neutral
233,"Renault is on verge of vanishing from INDIA, if renault is really serious they have to bring the european bound models in indian market. It will be late for them if they dont start doing it now.",Negative
234,When i heard 2025 all my enthusiasm disappeared 😂😂,Neutral
235,Automotive industry is changing so rapidly that two years look like eternity may be till then only electiric cars make sense 😊,Neutral
236,Duster was the first compact suv to come in India and they didnt fo anything after that.,Positive
237,"Auto mobile channel was getting bored recently, Thanks renaul Duster for reviving it again",Negative
238,2025!! Too late to the game I’m afraid. Atleast mid 2024 to try and make an impact in an already crowded segment.,Negative
239,The outgoing Duster is a great product in terms of practicality and experience. The downsides are the maintenance costs are high and not having broader network,Positive
240,Had a very bad experience with renault cars. Would not buy nor recommend buying there cars. Downgraded engines with no power and worst after sale service.,Negative
241,Finally the compact SUV segment starter will have a comeback. Now Koreans have to work more hard to survive this segment,Neutral
242,"ALSO A HUMBLE SUGGESTION, PLEASE CHANGE THE NAME TO 'AUTOCAR BHARAT'",Negative
243,WHAT ABOUT JEEP RENEGADE.... WILL IT COME TO BHARAT OR NOT,Neutral
244,Still looks old in 2023 😪,Neutral
245,"Looks very arrogant, bold and bully beautiful. I'm waiting with my intuitions.",Positive
246,Renault and Citroen are already here. Renault in India is nothing but Dacia and Citroen in India is not even existing.  Waiting for Peugeot!,Neutral
247,It has the right to be above Creta/Seltos for its drive comfort and handling. A no-nonsense vehicle for all practical purposes. I hope this drives the market towards practicality over premiums.,Positive
248,"I don't understand the delay in launch,  They have a product and with a slightly spruced up dealer and service network, They should launch it right away.  I hope that Renault doesn't shut it's India operations given the current dismal sales figures",Neutral
249,Beauty 😍 I wonder if this quality will be maintained at India launch,Neutral
250,Does it get rear disc brakes ?,Neutral
251,Wow.... Monstar look...,Neutral
252,"It seems a good car. I was eagerly awaiting for it, I even enquired many times in Renault dealership about its comeback. But if its getting launched in India in year 2025, it would be too late to be in the game. And competitive price would define it's success here.",Positive
253,"By 2025 festive season, there would be more technological advancements from the rivals & Renault will again fall behind",Neutral
254,Looks like brezza,Neutral
255,2025 is too late for the Indian market. The competition already has much better offerings in 2023!,Positive
256,"The new Duster appears more like a facelift of the older model. For Renault to thrive in the Indian market, they need to develop a completely new generation with the latest features offered by other car brands. It's crucial to keep up with competitors who provide advanced features at affordable prices. Renault's current offering lacks even basic features like a sunroof, and the absence of Advanced Driver Assistance Systems (ADAS) puts them behind. Simply relying on the existing model might not be sustainable in the dynamic Indian market.",Positive
257,"2025 is too much wait for its launch. If it is launched in late 2025, it will reduce its excitement and will get a lot of competition.",Neutral
258,"2025? good luck, it will be dusted and done for good by Hyundai's consistent market updates and TATA's ambitious product line ups and finally by strong surge in EVs.",Positive
259,Car is awesome …. But 2025 is late ….,Positive
260,This says DC … ??,Neutral
261,All will be great if the price tag fits under 15lacs.,Positive
262,No use of these SPECULATIONS.. Many vehicles may be launching across the world ; they are not coming to India because of the Cost Factor..,Positive
263,is it 5* on NCAP?,Neutral
264,OMG😮....... jabarjast... shandar....jandar.... fight is back.,Neutral
265,"It's better for Renault to keep this in Vault, rather than launching in 2025.",Positive
266,Will be available out of India but not in India..Whats the point then ?,Positive
267,"Looks good, but no diesel",Positive
268,Not comming in India 😂😂,Neutral
269,"2025 launch in India? The hybrids makes sense in that case, but they will lose quite some market by that time.",Neutral
270,20 lakhs seems overpriced,Neutral
271,Superb update of the car. Packs a punch. Only concern as Nikhil mentioned is that launch is in late 2025 for India.,Positive
272,This segment is getting more competitive.,Positive
273,Hold up it will launch in 2025,Neutral
274,Duster is the first car in it's segment who innovated compact suv concept. Now beast is back,Positive
275,Mini volvo,Neutral
276,Looks good nice design,Positive
277,That will be a game changer for Renault if they accomplish duster that well.,Negative
278,Pricing it around 20L will put it out of reach of many buyers in india.. the reason the og duster was so popular was the price.. a big feel suv starting at 8.5 - 9L was so good!! Hope renault keep this in mind when they launch it here...,Positive
279,Duster shall have a cult following. I owned one for 10 years. Replaced it with MG hector after doing 1 lakh plus km. Would be eager to replace Hector with Duster Hybrid model.,Neutral
280,Its built on a Mitsubishi platform this time. That make's it even better than the original.,Positive
281,"indians are now waiting for launch of 5 door Mahindra Thar , 2 wheel & 4 wheel versions.",Neutral
282,"If they offer 4x4 version with strong hybrid that gets anything above 17 kmpl, ADAS, 5 star NCAP ratings, parking sensors and reverse cameras, it will be a no-brainer purchase for under 20 lakh rupees.",Positive
283,2025 तक रेनॉल्ट टिक पाएगी 🤔,Neutral
284,If there's a diesel variant available I will definitely go for It❤,Positive
285,"When the India version launched and that too IF, than intro. STOP intro for foreign versions.",Negative
286,"That 1.3 TCe engine if they embed in Kiger with cosmetic change & sunroof,. definitely sells like a hot cake. Wake up #Renaultindia",Positive
287,By 2025 this will look outdated for sure,Neutral
288,😂😂 20 lakh bro who is gonna pay that much for this instead people will choose xuv 700.,Positive
289,No  200000 we have very classic  And multiple choices,Positive
290,2025 is too late 😮,Negative
291,One word 'Reliable' after 10 years and still rides like new,Positive
292,Big daddy of the compact suv's! Looks gorgeous in the new avatar ❤ wish they launch it sooner.,Positive
293,This car and ecosport created the segment of compact SUV in india but the cream is enjoyed but creepy pusuki n lundia craps,Neutral
